Latitude,Longitutde,elevation,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Prox.Water,site.code ,orchard.type,Orchard.num,Tree,Tissue,TCA,pb1,gentistic.acid,catechin,c.gala,chl.acid,caf.acid,pb2,syr.acid,epicatechin,p.coum,ferulic,rutin,hyperin,isoquercitin,reynoutrin,avicularin,quercitrin,phloridzin,quercetin,phloretin,U1,U2
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,5,PULP,847.0588235,6379.904675,0,2367.200637,0,64472.82116,272.4771274,13131.56249,0,10951.73921,82.92742901,0,0,0,0,0,0,0,1966.062847,0,0,350.2150783,141.5655249
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,1,SEED,871.3846154,0,0,0,0,16836.15681,44.05680573,2797.019536,338.7897434,2670.616729,0,0,0,0,0,246.1610495,0,174.1767017,89581.36842,0,18.1029784,7.156094807,73.66086746
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,2,SEED,813.4035424,0,0,270.8513402,0,20044.65545,21.62847195,6569.641461,416.0865081,4009.208315,0,0,0,0,0,251.2109613,0,166.809564,90099.03029,0,61.33568914,59.98011686,101.0405357
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,3,SEED,859.9190283,0,580.7247314,0,0,10485.07391,0,811.3251632,0,1093.147235,0,0,0,0,0,0,0,0,89737.78981,0,7.119926154,0,27.01139941
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,4,SEED,774.8290014,597.3019225,0,0,0,17934.85752,17.18328745,6063.490275,366.2173344,3929.566352,0,0,0,0,0,264.0184688,0,180.7958714,89742.4654,0,27.99919212,0,98.56375265
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,5,SEED,824.4541485,427.4181386,0,146.3836245,0,14735.80852,0,6048.658309,326.9603423,4120.460653,0,0,0,0,0,191.9605879,0,109.2545754,60272.14693,0,16.03132314,22.60426009,85.05190074
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,1,SKIN,863.4146341,0,0,0,0,5114.050517,0,2152.498397,375.7630278,2058.232956,0,0,12504.66034,936.1029655,3274.66519,346.2093725,4798.636879,6910.799337,2059.120142,0,0,76.90922256,56.83303024
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,2,SKIN,846.2151394,1595.794285,0,1407.970363,0,11400.79571,0,3050.175093,1174.200835,5284.267143,0,0,225.288864,2444.898062,2163.977758,1796.370868,3623.551858,4495.547306,2672.242347,0,0,54.40109071,75.82902511
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,3,SKIN,819.6816208,1324.031844,0,0,0,4682.922723,0,3558.54845,662.1353228,4539.39522,0,0,0,7900.795278,1619.211435,3392.992536,5451.52342,10415.81593,2802.312867,0,0,29.63898607,86.99497952
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Conventional ,2,4,SKIN,826.8613139,0,0,0,0,7084.95936,0,2613.736948,864.0499018,4491.581325,0,0,292.3438008,2694.597563,2215.465633,2009.129901,3732.411395,5775.71251,1744.898783,0,0,28.77360227,66.20819289
