Latitude,Longitutde,elevation,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Prox.Water,site.code ,orchard.type,Orchard_Num,Plant,Tissue,trans.cinnamic.acid,gallic acid,procyanidin B1,gentistic acid,catechin,cyanidin galactoside,chlorogenic acid,glucoside,caffeic acid??,procyanidin B2,syringic acid,epicatechin,p-coumaric,ferulic,rutin,hyperin,isoquercitin,reynoutrin,avicularin,quercitrin,phloridzin,quercetin,phloretin
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,1,PULP,860.7902736,0,0,0,0,0,128444.8468,0,3543.106632,2189.483788,0,3852.573849,0,0,0,0,0,0,0,0,12705.37582,0,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,2,PULP,857.7486118,0,0,0,0,0,89577.11134,0,2782.551258,2516.99652,0,0,0,0,0,0,0,0,0,1548.12716,2577.580718,0,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,3,PULP,838.2831771,0,2225.477501,0,0,0,136519.604,0,3166.410686,3822.932956,0,4664.989455,0,0,0,0,0,0,0,0,3885.372618,0,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,4,PULP,864.2929807,0,0,0,0,0,117716.5666,0,6330.409539,0,0,3599.374705,0,0,0,0,0,0,0,0,4257.840283,0,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,5,PULP,829.6875,0,1915.527774,0,0,0,127585.9042,0,5975.739128,3078.838176,0,4680.582085,0,0,0,0,0,0,0,0,3188.056437,0,0
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,1,SEED,761.6315554,0,0,0,0,0,112169.9108,0,2477.93843,3995.808756,0,4764.852736,0,0,0,0,842.701846,1298.657291,2019.807313,0,478021.6388,0,639.7118576
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,2,SEED,840.7718951,0,0,0,0,0,253465.7635,0,0,6531.072766,2290.907779,6059.504159,0,0,0,0,0,2645.541332,3351.705203,1775.352923,1223590.75,0,1416.350993
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,3,SEED,825.6559767,0,0,0,0,0,158026.8585,0,4964.131804,5638.465266,1401.089831,6201.857526,0,0,0,0,1163.267023,1653.417096,2568.052584,784.7998653,655018.78,0,623.986131
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,4,SEED,853.8693467,0,0,0,0,0,134621.8471,0,3509.284364,5856.386307,1370.17778,4743.737078,0,0,0,0,0,1250.432352,1856.264226,0,562919.0428,0,651.4097318
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,5,SEED,867.381317,0,0,0,0,0,239568.3989,0,8997.675746,15586.05512,1985.827685,10517.44186,0,0,0,0,0,1565.074918,3097.273526,975.1370763,911946.9009,0,992.7134773
